month,rank,char,opp,score
202502,40,DHALSIM,CAMMY,4.602
202502,40,DHALSIM,MARISA,5.728
202502,40,DHALSIM,LUKE,4.965
202502,40,DHALSIM,M. BISON,4.527
202502,40,DHALSIM,DEE JAY,4.140
202502,40,DHALSIM,JURI,4.903
202502,40,DHALSIM,LILY,6.231
202502,40,DHALSIM,ED,5.755
202502,40,DHALSIM,MANON,5.526
202502,40,DHALSIM,KEN,4.884
202502,40,DHALSIM,TERRY,4.959
202502,40,DHALSIM,RASHID,4.321
202502,40,DHALSIM,ZANGIEF,6.397
202502,40,DHALSIM,GUILE,4.849
202502,40,DHALSIM,JAMIE,5.169
202502,40,DHALSIM,MAI,5.082
202502,40,DHALSIM,AKUMA,5.109
202502,40,DHALSIM,A.K.I.,5.192
202502,40,DHALSIM,RYU,4.940
202502,40,E. HONDA,BLANKA,5.499
202502,40,E. HONDA,KIMBERLY,5.178
202502,40,E. HONDA,DHALSIM,5.789
202502,40,E. HONDA,CHUN-LI,4.910
202502,40,E. HONDA,JP,4.996
202502,40,E. HONDA,CAMMY,5.421
202502,40,E. HONDA,MARISA,4.968
202502,40,E. HONDA,LUKE,4.988
202502,40,E. HONDA,M. BISON,5.386
202502,40,E. HONDA,DEE JAY,5.124
202502,40,E. HONDA,JURI,5.068
202502,40,E. HONDA,LILY,5.084
202502,40,E. HONDA,ED,5.180
202502,40,E. HONDA,MANON,5.014
202502,40,E. HONDA,KEN,4.637
202502,40,E. HONDA,TERRY,5.221
202502,40,E. HONDA,RASHID,5.150
202502,40,E. HONDA,ZANGIEF,4.760
